time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451250000	10.0264	20.9586	4.85693	3.28708	0.501162	radar	1.00225	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84178	20.9175	4.7578	3.31808	0.511452	lidar	1.6021	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.60832	20.9096	4.71315	3.31059	0.438084	radar	1.85521	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.42247	20.8579	4.63027	3.34131	0.451058	lidar	0.849993	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.2057	20.8132	4.62545	3.36759	0.464019	radar	1.4904	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89664	20.7906	4.77725	3.36728	0.431651	lidar	2.47543	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.68685	20.7077	4.75125	3.40841	0.465759	radar	4.52469	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40048	20.6283	4.85652	3.42996	0.461086	lidar	2.8825	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17113	20.5473	4.86686	3.46203	0.480828	radar	0.153955	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92615	20.4685	4.89392	3.48362	0.477177	lidar	0.113822	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71052	20.381	4.90405	3.52165	0.515258	radar	3.51774	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.38576	20.3273	5.0697	3.51366	0.469733	lidar	3.07588	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.14889	20.2324	5.0652	3.53422	0.460977	radar	0.214183	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.88199	20.1496	5.1209	3.54411	0.443544	lidar	0.383436	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.65253	20.0595	5.0976	3.55867	0.427804	radar	0.494987	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.40721	19.9672	5.11715	3.57221	0.417815	lidar	0.148294	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.18826	19.874	5.09412	3.59068	0.417802	radar	2.91917	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.92497	19.7801	5.14794	3.59683	0.398602	lidar	0.435646	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.68995	19.6339	5.20882	3.63969	0.449584	radar	1.86101	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.53072	19.506	5.09295	3.67813	0.471813	lidar	1.83467	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.33016	19.3565	5.07951	3.71381	0.49064	radar	1.80741	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.12223	19.2533	5.0547	3.72596	0.476049	lidar	1.95661	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.93566	19.142	4.96068	3.73492	0.440497	radar	4.73923	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78443	18.9892	4.88161	3.77577	0.466565	lidar	0.766532	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
